"Osnovni podatki o živorojenih, statistiène regije, Slovenija, letno"

"LETO";"STATISTIÈNA REGIJA";"Živorojeni - SKUPAJ";"Živorojeni na 1.000 prebivalcev"
"2012";"Primorsko-notranjska";570;10.9
"2012";"Goriška";1296;10.9
"2012";"Obalno-kraška";1148;10.3
"2013";"SLOVENIJA";21111;10.3
"2013";"Pomurska";1026;8.7
"2013";"Podravska";2924;9.1
"2013";"Koroška";678;9.4
"2013";"Savinjska";2665;10.2
"2013";"Zasavska";409;9.4
"2013";"Posavska";709;10.1
"2013";"Jugovzhodna Slovenija";1568;11.0
"2013";"Osrednjeslovenska";6004;11.1
"2013";"Gorenjska";2256;11.1
"2013";"Primorsko-notranjska";584;11.1
"2013";"Goriška";1251;10.5
"2013";"Obalno-kraška";1037;9.3
"2014";"SLOVENIJA";21165;10.3
"2014";"Pomurska";1009;8.6
"2014";"Podravska";3012;9.3
"2014";"Koroška";718;10.1
"2014";"Savinjska";2683;10.3
"2014";"Zasavska";409;9.6
"2014";"Posavska";707;10.1
"2014";"Jugovzhodna Slovenija";1632;11.5
"2014";"Osrednjeslovenska";6022;11.0
"2014";"Gorenjska";2149;10.5
"2014";"Primorsko-notranjska";537;10.2
"2014";"Goriška";1188;10.0
"2014";"Obalno-kraška";1099;9.7
"2015";"SLOVENIJA";20641;10.0
"2015";"Pomurska";1003;8.6
"2015";"Podravska";2916;9.0
"2015";"Koroška";662;9.3
"2015";"Savinjska";2555;10.0
"2015";"Zasavska";547;9.5
"2015";"Posavska";793;10.5
"2015";"Jugovzhodna Slovenija";1551;10.9
"2015";"Osrednjeslovenska";5745;10.7
"2015";"Gorenjska";2159;10.6
"2015";"Primorsko-notranjska";545;10.4
"2015";"Goriška";1155;9.8
"2015";"Obalno-kraška";1010;8.9
"2016";"SLOVENIJA";20345;9.9
"2016";"Pomurska";950;8.2
"2016";"Podravska";2940;9.1
"2016";"Koroška";686;9.7
"2016";"Savinjska";2533;9.9
"2016";"Zasavska";576;10.0
"2016";"Posavska";727;9.6
"2016";"Jugovzhodna Slovenija";1586;11.1
"2016";"Osrednjeslovenska";5593;10.4
"2016";"Gorenjska";2098;10.3
"2016";"Primorsko-notranjska";505;9.6
"2016";"Goriška";1115;9.5
"2016";"Obalno-kraška";1036;9.2
"2017";"SLOVENIJA";20241;9.8
"2017";"Pomurska";1053;9.1
"2017";"Podravska";2876;8.9
"2017";"Koroška";712;10.1
"2017";"Savinjska";2425;9.5
"2017";"Zasavska";572;10.0
"2017";"Posavska";777;10.3
"2017";"Jugovzhodna Slovenija";1567;11.0
"2017";"Osrednjeslovenska";5640;10.4
"2017";"Gorenjska";2061;10.1
"2017";"Primorsko-notranjska";524;10.0
"2017";"Goriška";1075;9.1
"2017";"Obalno-kraška";959;8.4
"2018";"SLOVENIJA";19585;9.5
"2018";"Pomurska";946;8.3
"2018";"Podravska";2787;8.7
"2018";"Koroška";674;9.5
"2018";"Savinjska";2405;9.4
"2018";"Zasavska";498;8.7
"2018";"Posavska";690;9.1
"2018";"Jugovzhodna Slovenija";1579;11.0
"2018";"Osrednjeslovenska";5468;10.1
"2018";"Gorenjska";2025;9.9
"2018";"Primorsko-notranjska";473;9.0
"2018";"Goriška";1056;9.0
"2018";"Obalno-kraška";984;8.6
"2019";"SLOVENIJA";19328;9.3
"2019";"Pomurska";924;8.1
"2019";"Podravska";2846;8.8
"2019";"Koroška";652;9.2
"2019";"Savinjska";2393;9.3
"2019";"Zasavska";455;8.0
"2019";"Posavska";727;9.6
"2019";"Jugovzhodna Slovenija";1572;10.9
"2019";"Osrednjeslovenska";5320;9.6
"2019";"Gorenjska";2017;9.8
"2019";"Primorsko-notranjska";496;9.4
"2019";"Goriška";1001;8.5
"2019";"Obalno-kraška";925;8.0
"2020";"SLOVENIJA";18767;8.9
"2020";"Pomurska";832;7.3
"2020";"Podravska";2569;7.9
"2020";"Koroška";597;8.4
"2020";"Savinjska";2379;9.2
"2020";"Zasavska";463;8.1
"2020";"Posavska";701;9.2
"2020";"Jugovzhodna Slovenija";1477;10.1
"2020";"Osrednjeslovenska";5307;9.6
